Domain,TriggerType,Layer,Prob
Coding,Exact,0,0.0
Coding,Exact,1,0.0
Coding,Exact,2,3.1839218053039044e-29
Coding,Exact,3,1.064679097878954e-34
Coding,Exact,4,7.34951429775691e-27
Coding,Exact,5,2.4904778571641386e-32
Coding,Exact,6,6.328282760011475e-14
Coding,Exact,7,1.61691673383757e-08
Coding,Exact,8,6.722844432260899e-07
Coding,Exact,9,9.245348309150359e-08
Coding,Exact,10,6.237323990632149e-09
Coding,Exact,11,3.5042688750763773e-07
Coding,Exact,12,1.0559367824569676e-09
Coding,Exact,13,8.845821852787594e-09
Coding,Exact,14,1.2231099379839128e-12
Coding,Exact,15,4.153032084897035e-12
Coding,Exact,16,7.916867302785319e-14
Coding,Exact,17,5.797642756988353e-07
Coding,Exact,18,7.503141441489447e-10
Coding,Exact,19,1.8689659195270103e-11
Coding,Exact,20,4.866866688210488e-17
Coding,Exact,21,7.324656001492886e-16
Coding,Exact,22,2.4378722239710993e-13
Coding,Exact,23,1.1296981120275458e-15
Coding,Exact,24,2.8480164656401684e-16
Coding,Exact,25,1.1751868094378882e-14
Coding,Paraphrased,0,0.0
Coding,Paraphrased,1,0.0
Coding,Paraphrased,2,4.543939504097933e-29
Coding,Paraphrased,3,7.281227248437369e-35
Coding,Paraphrased,4,2.640226738474346e-27
Coding,Paraphrased,5,1.0690022033510686e-32
Coding,Paraphrased,6,9.508630590803618e-14
Coding,Paraphrased,7,1.9573251464066743e-08
Coding,Paraphrased,8,1.26667657696089e-06
Coding,Paraphrased,9,2.4258213215944124e-07
Coding,Paraphrased,10,2.1040952091766485e-08
Coding,Paraphrased,11,3.330880531393632e-07
Coding,Paraphrased,12,2.0741821060710208e-07
Coding,Paraphrased,13,3.37040034992242e-07
Coding,Paraphrased,14,3.9437172277834165e-11
Coding,Paraphrased,15,2.910396576516483e-11
Coding,Paraphrased,16,1.6423165182400529e-13
Coding,Paraphrased,17,6.0341380958561786e-06
Coding,Paraphrased,18,2.830627465755242e-07
Coding,Paraphrased,19,2.2639903285437413e-09
Coding,Paraphrased,20,4.62456848260729e-14
Coding,Paraphrased,21,3.1080460470914173e-13
Coding,Paraphrased,22,1.3523313328531184e-13
Coding,Paraphrased,23,8.888770101233732e-16
Coding,Paraphrased,24,1.2342222953560817e-16
Coding,Paraphrased,25,4.846379052328995e-15
Coding,None,0,0.0
Coding,None,1,0.0
Coding,None,2,2.0605641836355022e-29
Coding,None,3,5.497644446790868e-36
Coding,None,4,1.9745043049971124e-29
Coding,None,5,9.402017591888145e-31
Coding,None,6,5.1180766439187786e-14
Coding,None,7,5.790445456455018e-09
Coding,None,8,1.7604151025807369e-07
